dataset,model,graph_mode,seeding,technique,seed,n_parameters,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
BasicMotions,dcrnn,random_predef_seed789,,none,789,204037,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,random_predef_seed1024,,none,1024,105733,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,random_predef_seed123,,none,123,105733,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,random_predef_seed42,,none,42,105733,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,random_predef_seed456,,none,456,105733,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,random_predef_seed789,,none,789,105733,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,random_predef_seed1024,,none,1024,138629,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,gconv_lstm,random_predef_seed123,,none,123,138629,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,random_predef_seed42,,none,42,138629,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,gconv_lstm,random_predef_seed456,,none,456,138629,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,random_predef_seed789,,none,789,138629,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,random_predef_seed1024,,none,1024,105926,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,random_predef_seed123,,none,123,105926,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,random_predef_seed42,,none,42,105926,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,random_predef_seed456,,none,456,105926,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,random_predef_seed789,,none,789,105926,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_nosvd_random_predef_seed1024,noSVD,none,1024,105899,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_nosvd_random_predef_seed123,noSVD,none,123,105899,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_nosvd_random_predef_seed42,noSVD,none,42,105899,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_nosvd_random_predef_seed456,noSVD,none,456,105899,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_nosvd_random_predef_seed789,noSVD,none,789,105899,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_random_predef_seed1024,SVD,none,1024,106055,0.925,0.9232736572890023,0.9232736572890026,0.9423076923076924,0.925
BasicMotions,a3tgcn,adaptive_random_predef_seed123,SVD,none,123,106055,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_random_predef_seed42,SVD,none,42,106055,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_random_predef_seed456,SVD,none,456,106055,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_random_predef_seed789,SVD,none,789,106055,1.0,1.0,1.0,1.0,1.0
BasicMotions,dcrnn,adaptive_nosvd_random_predef_seed1024,noSVD,none,1024,204073,1.0,1.0,1.0,1.0,1.0
