dataset,model,graph_mode,seed,n_folds,n_parameters,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,macro_precision_mean,macro_recall_mean,weighted_accuracy
DSA,dcrnn,adaptive,789,8,1209908,0.8759868421052631,0.0461005129115157,0.8624156095567859,0.0525448102885097,0.8624156095567859,0.8774049647513039,0.8759868421052631,0.8759868421052631
DSA,dcrnn,predefined_coarse,1024,8,1209748,0.8423245614035089,0.0395947218393778,0.8192687186580481,0.0490983226897041,0.8192687186580481,0.84322510065732,0.8423245614035086,0.8423245614035088
DSA,dcrnn,predefined_coarse,123,8,1209748,0.8298245614035088,0.0529940007173875,0.8035270063119205,0.0657699563029377,0.8035270063119205,0.8124757048628144,0.8298245614035087,0.8298245614035088
DSA,dcrnn,predefined_coarse,42,8,1209748,0.8428728070175439,0.0327700487715723,0.8210828656370107,0.0416173611208491,0.8210828656370107,0.8472695274271451,0.8428728070175439,0.8428728070175439
DSA,dcrnn,predefined_coarse,456,8,1209748,0.8726973684210526,0.043153164187682,0.8547470613466841,0.0500470690564175,0.8547470613466842,0.8664290733890083,0.8726973684210526,0.8726973684210526
DSA,dcrnn,predefined_coarse,789,8,1209748,0.8414473684210526,0.0462833610225184,0.8179401417612309,0.0552126812416343,0.8179401417612309,0.837540158896008,0.8414473684210526,0.8414473684210526
DSA,dcrnn,predefined_correlation_mean,1024,8,1208724,0.8471491228070176,0.067279543781064,0.8261167278784473,0.0842531535199972,0.8261167278784473,0.8478653729001365,0.8471491228070176,0.8485380116959065
DSA,dcrnn,predefined_correlation_mean,123,8,1208724,0.8021929824561403,0.0547789283771784,0.7764473603902213,0.0669181151206537,0.7764473603902213,0.8271151624888452,0.8021929824561403,0.7859649122807018
DSA,dcrnn,predefined_correlation_mean,42,8,1208724,0.7961622807017543,0.0586817478766317,0.7657635538932128,0.0698770899451296,0.7657635538932128,0.7867194314864908,0.7961622807017544,0.8073099415204679
DSA,dcrnn,predefined_correlation_mean,456,8,1208724,0.8075657894736843,0.0722938710910009,0.7775057448073741,0.0913516515134833,0.7775057448073741,0.7946522640964222,0.8075657894736843,0.7947368421052632
DSA,dcrnn,predefined_correlation_mean,789,8,1208724,0.8157894736842106,0.0909947674703703,0.7899430385243547,0.1051291446643152,0.7899430385243547,0.8149389005577117,0.8157894736842106,0.8489035087719298
DSA,dcrnn,predefined_fine,1024,8,1208724,0.7597587719298247,0.0443599481254385,0.7320701107600062,0.0490956051170238,0.732070110760006,0.7572134071326218,0.7597587719298244,0.7267543859649123
DSA,dcrnn,predefined_fine,123,8,1208724,0.7135964912280702,0.0677855098546908,0.682946449663218,0.0785205061562804,0.682946449663218,0.7170989545211086,0.7135964912280702,0.6421052631578947
DSA,dcrnn,predefined_fine,42,8,1208724,0.6915570175438597,0.08834855169086,0.6571886415721404,0.0981484891301284,0.6571886415721403,0.695998227384942,0.6915570175438596,0.6629385964912281
DSA,dcrnn,predefined_fine,456,8,1208724,0.6768640350877193,0.0801731562067161,0.6317703318862643,0.0838589420921748,0.6317703318862643,0.6892249680423728,0.6768640350877193,0.6687134502923977
DSA,dcrnn,predefined_fine,789,8,1208724,0.75,0.1117491874083502,0.7200379402716891,0.1201587795390574,0.7200379402716892,0.7582762507620773,0.75,0.7521929824561403
DSA,gconv_gru,adaptive,1024,8,620084,0.8178728070175438,0.0619880347112926,0.7913206112330053,0.066639520035852,0.7913206112330052,0.8052811837309312,0.8178728070175438,0.8178728070175438
DSA,gconv_gru,adaptive,123,8,620084,0.8457236842105262,0.0443967930676034,0.8207403598076143,0.0534383585515534,0.8207403598076143,0.8462023016037404,0.8457236842105262,0.8457236842105263
DSA,gconv_gru,adaptive,42,8,620084,0.8309210526315789,0.0641397696382355,0.7998212692280836,0.0766456503998127,0.7998212692280836,0.8063655730542032,0.8309210526315789,0.8309210526315789
DSA,gconv_gru,adaptive,456,8,620084,0.8230263157894737,0.0665435584241173,0.7958348980841639,0.07702056000452,0.7958348980841637,0.814450468956989,0.8230263157894737,0.762280701754386
DSA,gconv_gru,adaptive,789,8,620084,0.8154605263157895,0.0477867684059886,0.7930760692026175,0.0503789794050991,0.7930760692026175,0.8150372941356947,0.8154605263157895,0.7697368421052632
DSA,gconv_gru,predefined_coarse,1024,8,619924,0.8286184210526316,0.0582754915378114,0.8007716517399511,0.0691839787849257,0.8007716517399511,0.8146600408844559,0.8286184210526316,0.8286184210526316
DSA,gconv_gru,predefined_coarse,123,8,619924,0.8446271929824563,0.056096538379745,0.8205640359317249,0.0662220958694467,0.8205640359317249,0.8446224466650776,0.8446271929824563,0.8446271929824561
DSA,gconv_gru,predefined_coarse,42,8,619924,0.8035087719298246,0.067247012311477,0.7703102783466499,0.0773472425861476,0.7703102783466498,0.8029421179778137,0.8035087719298246,0.8035087719298246
DSA,gconv_gru,predefined_coarse,456,8,619924,0.8270833333333334,0.0601955708676108,0.8004399009954901,0.0733809763617834,0.8004399009954901,0.8432240970567323,0.8270833333333334,0.8270833333333333
DSA,gconv_gru,predefined_coarse,789,8,619924,0.8536184210526315,0.0569642758934946,0.8299441374953269,0.0690757641377603,0.8299441374953269,0.851121452411792,0.8536184210526316,0.8536184210526315
DSA,gconv_gru,predefined_correlation_mean,1024,8,618900,0.8015350877192982,0.0727577909042942,0.7782592707118718,0.0837597597065031,0.7782592707118721,0.815415494093315,0.8015350877192982,0.7882205513784462
DSA,gconv_gru,predefined_correlation_mean,123,8,618900,0.7940789473684211,0.0701175062408842,0.7688794299331488,0.0693816853834359,0.7688794299331488,0.8013611506637763,0.7940789473684211,0.7940789473684211
DSA,gconv_gru,predefined_correlation_mean,42,8,618900,0.7946271929824562,0.0645995273534371,0.7681526455522872,0.0648542567666604,0.7681526455522872,0.8010503881611845,0.7946271929824562,0.8096491228070175
DSA,gconv_gru,predefined_correlation_mean,456,8,618900,0.7966008771929824,0.0936600573988424,0.7750178862386115,0.1041760175128178,0.7750178862386115,0.8005872598122551,0.7966008771929824,0.7469298245614036
DSA,gconv_gru,predefined_correlation_mean,789,8,618900,0.7960526315789473,0.050356531255378,0.7698526431380117,0.05794197415123,0.7698526431380117,0.7989279842614518,0.7960526315789473,0.7888888888888889
DSA,gconv_gru,predefined_fine,1024,8,618900,0.6910087719298246,0.0586273260345062,0.6550614963207599,0.0647906898346075,0.6550614963207599,0.6689511143803706,0.6910087719298246,0.6910087719298246
DSA,gconv_gru,predefined_fine,123,8,618900,0.6802631578947369,0.0933808907988655,0.6424612051455443,0.1048011469154979,0.6424612051455444,0.6703171271232664,0.6802631578947368,0.6802631578947368
DSA,gconv_gru,predefined_fine,42,8,618900,0.6757675438596491,0.0971408925863118,0.6346212085751105,0.1108631538811145,0.6346212085751105,0.6837173669933047,0.6757675438596491,0.6757675438596491
DSA,gconv_gru,predefined_fine,456,8,618900,0.6678728070175439,0.064919596404967,0.6279872290876407,0.0727895509401725,0.6279872290876407,0.6772494888555076,0.6678728070175439,0.6678728070175438
DSA,gconv_gru,predefined_fine,789,8,618900,0.6696271929824561,0.0608242373890134,0.6277258642576864,0.0685881991529508,0.6277258642576864,0.6628049019776893,0.6696271929824561,0.6696271929824561
DSA,gconv_lstm,adaptive_random_predef_seed1024,42,8,816948,0.8259868421052632,0.0623346342650918,0.7952936469466514,0.0728417342675107,0.7952936469466514,0.8279942240772834,0.8259868421052632,0.8259868421052632
DSA,gconv_lstm,adaptive_random_predef_seed123,42,8,816948,0.800109649122807,0.0662679058480869,0.770918578810645,0.0813248411846387,0.770918578810645,0.7977427209570767,0.800109649122807,0.800109649122807
DSA,gconv_lstm,adaptive_random_predef_seed42,42,8,816948,0.8251096491228069,0.0794839676889324,0.7994415758677123,0.0929502080653785,0.7994415758677124,0.8254138304557829,0.8251096491228069,0.825109649122807
DSA,gconv_lstm,adaptive_random_predef_seed456,42,8,816948,0.824780701754386,0.0478668344595911,0.7971925760368386,0.0471662322926775,0.7971925760368386,0.8170752198274871,0.824780701754386,0.824780701754386
DSA,gconv_lstm,adaptive_random_predef_seed789,42,8,816948,0.8098684210526316,0.0633976777433059,0.7817232471358719,0.0720986295908758,0.7817232471358718,0.8048043930472351,0.8098684210526316,0.8098684210526316
DSA,gconv_lstm,adaptive,1024,8,816948,0.8076754385964913,0.0456809352519288,0.7768348018948397,0.0544614718688487,0.7768348018948396,0.8031442012070437,0.8076754385964913,0.8076754385964913
DSA,gconv_lstm,adaptive,123,8,816948,0.8355263157894737,0.040683223246685,0.810295143940073,0.0426905851504095,0.810295143940073,0.838614746358354,0.8355263157894738,0.8355263157894737
DSA,gconv_lstm,adaptive,42,8,816948,0.824780701754386,0.0678461423403786,0.7997208490984871,0.0748739595766325,0.7997208490984871,0.8251499137618493,0.824780701754386,0.824780701754386
DSA,gconv_lstm,adaptive,456,8,816948,0.812390350877193,0.057750747144806,0.7824165157555967,0.0676454970427511,0.7824165157555967,0.799778942947557,0.8123903508771929,0.812390350877193
DSA,gconv_lstm,adaptive,789,8,816948,0.8109649122807018,0.0735561753113829,0.7864053005630877,0.0809180689038158,0.7864053005630876,0.809520197261848,0.8109649122807017,0.8109649122807018
DSA,gconv_lstm,predefined_coarse,1024,8,816788,0.8260964912280702,0.0498685367771651,0.7960542495925176,0.0619104327260797,0.7960542495925176,0.8132128516118138,0.8260964912280702,0.8260964912280702
DSA,gconv_lstm,predefined_coarse,123,8,816788,0.8175438596491228,0.0442308850367674,0.7889975004458172,0.0524497029121757,0.7889975004458172,0.8125495937582649,0.8175438596491228,0.8175438596491228
DSA,gconv_lstm,predefined_coarse,42,8,816788,0.8035087719298246,0.0468025820513443,0.7706715662016372,0.0580659257615538,0.7706715662016372,0.7991136126043874,0.8035087719298246,0.8035087719298246
DSA,gconv_lstm,predefined_coarse,456,8,816788,0.8214912280701755,0.0404175650298536,0.7910411828876429,0.0387510243960247,0.7910411828876429,0.8013157300901388,0.8214912280701755,0.8214912280701754
DSA,gconv_lstm,predefined_coarse,789,8,816788,0.7995614035087719,0.0469892229446872,0.763001635523114,0.0569555472435016,0.763001635523114,0.7881497292457008,0.7995614035087719,0.7995614035087719
DSA,gconv_lstm,predefined_correlation_mean,1024,8,815764,0.806798245614035,0.0325441847527148,0.773772656922554,0.0360702685551739,0.7737726569225541,0.7997904244181634,0.806798245614035,0.8067982456140351
DSA,gconv_lstm,predefined_correlation_mean,123,8,815764,0.8165570175438597,0.0369735476366335,0.7887660192943424,0.0405559368336871,0.7887660192943423,0.8089070296976368,0.8165570175438597,0.8165570175438597
DSA,gconv_lstm,predefined_correlation_mean,42,8,815764,0.8197368421052631,0.0591699015931229,0.7951330068660678,0.0606847659528977,0.7951330068660678,0.8281861511124355,0.8197368421052631,0.8295739348370927
DSA,gconv_lstm,predefined_correlation_mean,456,8,815764,0.781030701754386,0.0684603147303783,0.7501741470406046,0.0726149231127001,0.7501741470406047,0.7741141777600167,0.7810307017543859,0.7810307017543859
DSA,gconv_lstm,predefined_correlation_mean,789,8,815764,0.8472587719298246,0.0656071120221859,0.8283912857711326,0.0747621606444376,0.8283912857711326,0.8571361589513637,0.8472587719298246,0.8472587719298246
DSA,gconv_lstm,predefined_fine,1024,8,815764,0.6861842105263158,0.0705632785874549,0.6453762581360707,0.0822240338858887,0.6453762581360707,0.6929309557986383,0.6861842105263158,0.6861842105263158
DSA,gconv_lstm,predefined_fine,123,8,815764,0.7391447368421052,0.0691592230583979,0.7067545237459067,0.073746784995249,0.7067545237459069,0.7391677288616192,0.7391447368421052,0.7391447368421052
DSA,gconv_lstm,predefined_fine,42,8,815764,0.6836622807017544,0.1029786244206311,0.6456023268268992,0.1207251620865555,0.6456023268268993,0.6766447252464249,0.6836622807017544,0.6836622807017544
DSA,gconv_lstm,predefined_fine,456,8,815764,0.6796052631578947,0.0951054294214995,0.6463511050608404,0.0990801285273455,0.6463511050608404,0.6877067486077169,0.6796052631578948,0.6796052631578947
DSA,gconv_lstm,predefined_fine,789,8,815764,0.6978070175438597,0.0863701066436613,0.6631447874564028,0.1020563445681779,0.6631447874564028,0.6939580105612506,0.6978070175438597,0.6978070175438597
DSA,gconv_lstm,random_predef_seed1024,42,8,816788,0.8078947368421052,0.0301070215819833,0.7822208208493201,0.0352853082289005,0.7822208208493201,0.8199809833936655,0.8078947368421052,0.8078947368421052
DSA,gconv_lstm,random_predef_seed123,42,8,816788,0.8186403508771929,0.0436105866937826,0.7896823047169398,0.0459320366797888,0.7896823047169398,0.8266715260454001,0.8186403508771929,0.818640350877193
DSA,gconv_lstm,random_predef_seed42,42,8,816788,0.8135964912280702,0.0503698998236912,0.7896323932478096,0.0542941059391826,0.7896323932478096,0.8212299040609535,0.8135964912280702,0.8135964912280702
DSA,gconv_lstm,random_predef_seed456,42,8,816788,0.8089912280701754,0.0651160711646138,0.7848620718390205,0.0736461455772801,0.7848620718390205,0.8223503476641141,0.8089912280701754,0.8089912280701754
DSA,gconv_lstm,random_predef_seed789,42,8,816788,0.8185307017543859,0.0399566879909318,0.7924274125070534,0.0461769049772835,0.7924274125070534,0.821546565303658,0.8185307017543859,0.8185307017543859
DSA,hybrid_tgnn,adaptive,1024,8,620245,0.856907894736842,0.0492527211838446,0.8375278498661547,0.0546596580496644,0.8375278498661548,0.8495782979706754,0.856907894736842,0.8462719298245615
DSA,hybrid_tgnn,adaptive,123,8,620245,0.8948464912280701,0.0485029768357236,0.8790560708482245,0.0618376341146863,0.8790560708482246,0.8841715436236264,0.89484649122807,0.8940789473684211
DSA,hybrid_tgnn,adaptive,42,8,620245,0.8723684210526316,0.0290435668967426,0.8493801676505522,0.0433658434987354,0.8493801676505522,0.872702876610491,0.8723684210526317,0.8513157894736842
